47.60	0	217	3.21
47.40	0	252	3.36
47.20	0	261	3.48
47.00	0	222	3.60
46.80	0	182	3.66
46.60	0	185	3.58
46.40	0	193	3.50
46.20	0	211	3.62
46.00	0	239	3.74
45.80	0	287	3.71
45.60	0	320	3.68
45.40	0	318	3.71
45.20	0	315	3.76
45.00	0	359	3.80
44.80	0	402	3.82
44.60	0	402	3.80
44.40	0	402	3.75
44.20	0	422	3.60
44.00	0	442	3.38
43.80	0	441	3.20
43.60	0	440	2.98
43.40	0	451	2.54
43.20	0	462	2.14
43.00	0	400	1.95
42.80	0	338	1.86
42.60	0	344	2.15
42.40	0	349	2.56
42.20	0	344	2.78
42.00	0	331	2.91
41.80	0	246	2.96
41.60	0	146	2.98
41.40	0	110	2.97
41.20	0	84	2.96
41.00	0	61	2.96
40.80	0	43	2.95
40.60	0	30	2.80
40.40	0	23	2.66
40.20	0	36	2.78
40.00	0	57	2.89
39.80	2	72	2.83
39.60	2	94	2.76
39.40	2	172	2.91
39.20	2	261	3.14
39.00	2	312	3.30
38.80	2	337	3.41
38.60	2	335	3.43
38.40	2	331	3.46
38.20	2	328	3.67
38.00	2	323	3.86
37.80	2	276	3.78
37.60	2	232	3.64
37.40	2	246	3.51
37.20	2	260	3.44
37.00	2	260	3.55
36.80	2	261	3.66
36.60	2	290	3.66
36.40	2	320	3.66
36.20	2	324	3.66
36.00	2	325	3.66
35.80	2	282	3.74
35.60	2	230	3.83
35.40	2	215	3.81
35.20	2	209	3.79
35.00	2	253	3.84
34.80	2	296	3.89
34.60	2	291	3.82
34.40	2	285	3.75
34.20	2	294	3.74
34.00	2	303	3.74
33.80	2	279	3.74
33.60	2	255	3.75
33.40	2	266	3.75
33.20	2	289	3.74
33.00	2	330	3.71
32.80	2	374	3.69
32.60	2	403	3.79
32.40	2	417	3.89
32.20	2	410	3.85
32.00	2	395	3.81
31.80	2	345	3.85
31.60	4	303	3.89
31.40	4	396	3.82
31.20	4	488	3.67
31.00	4	479	3.36
30.80	4	460	3.13
30.60	4	419	3.30
30.40	4	388	3.49
30.20	4	428	3.52
30.00	4	468	3.53
29.80	4	464	3.50
29.60	4	453	3.44
29.40	4	364	3.37
29.20	4	278	3.33
29.00	4	271	3.42
28.80	4	269	3.58
28.60	4	322	3.80
28.40	4	374	3.95
28.20	4	360	3.88
28.00	4	346	3.80
27.80	4	347	3.77
27.60	4	348	3.76
27.40	4	367	3.87
27.20	4	386	3.99
27.00	4	376	4.01
26.80	4	366	4.02
26.60	4	383	3.96
26.40	4	402	3.91
26.20	4	404	3.93
26.00	4	407	3.98
25.80	4	426	4.05
25.60	4	447	4.09
25.40	4	454	4.01
25.20	4	457	3.94
25.00	4	457	3.96
24.80	4	456	3.98
24.60	4	445	3.82
24.40	4	434	3.66
24.20	4	440	3.86
24.00	4	445	4.06
23.80	4	443	4.05
23.60	6	438	4.05
23.40	6	432	4.12
23.20	6	428	4.19
23.00	6	438	4.18
22.80	6	448	4.16
22.60	6	448	4.09
22.40	6	447	4.04
22.20	6	439	4.13
22.00	6	431	4.22
21.80	6	436	4.18
21.60	6	447	4.15
21.40	6	465	4.17
21.20	6	481	4.20
21.00	6	487	4.21
20.80	6	490	4.21
20.60	6	490	4.22
20.40	6	490	4.22
20.20	6	475	4.19
20.00	6	458	4.14
19.80	6	456	4.12
19.60	6	455	4.11
19.40	6	451	4.08
19.20	6	448	4.06
19.00	6	454	4.10
18.80	6	463	4.16
18.60	6	472	4.24
18.40	6	477	4.29
18.20	6	421	4.07
18.00	6	340	3.68
17.80	6	300	3.24
17.60	6	263	2.96
17.40	6	211	2.99
17.20	6	156	3.03
17.00	6	95	2.65
16.80	6	52	2.27
16.60	6	38	2.32
16.40	6	33	2.43
16.20	6	44	2.64
16.00	6	60	2.80
15.80	6	71	2.65
15.60	8	80	2.50
15.40	8	90	2.58
15.20	8	95	2.66
15.00	8	69	2.50
14.80	8	40	2.33
14.60	8	34	2.32
14.40	8	31	2.31
14.20	8	68	2.45
14.00	8	114	2.60
13.80	8	130	2.60
13.60	8	137	2.59
13.40	8	116	2.44
13.20	8	87	2.30
13.00	8	69	2.31
12.80	8	60	2.34
12.60	8	78	2.45
12.40	8	112	2.63
12.20	8	147	2.80
12.00	8	193	2.99
11.80	8	280	3.29
11.60	8	341	3.48
11.40	8	308	3.26
11.20	8	249	2.98
11.00	8	187	2.90
10.80	8	132	2.83
10.60	8	102	2.60
10.40	8	78	2.34
10.20	8	47	2.19
10.00	8	28	2.07
9.80	8	34	1.95
9.60	8	39	1.87
9.40	8	26	1.86
9.20	8	12	1.85
9.00	8	14	1.78
8.80	8	15	1.70
8.60	8	9	1.67
8.40	8	2	1.65
8.20	8	7	1.64
8.00	8	12	1.63
7.80	8	7	1.65
7.60	8	1	1.68
7.40	8	1	1.68
7.20	8	1	1.67
7.00	8	3	1.64
6.80	8	5	1.59
6.60	8	7	1.55
6.40	8	8	1.53
6.20	8	6	1.58
6.00	8	4	1.62
5.80	8	2	1.59
5.60	8	1	1.56
5.40	8	3	1.63
5.20	8	4	1.70
5.00	8	3	1.65
4.80	8	2	1.60
4.60	8	4	1.59
4.40	8	6	1.58
4.20	8	8	1.61
4.00	8	9	1.64
3.80	8	6	1.57
3.60	8	2	1.49
3.40	8	7	1.47
3.20	8	12	1.46
3.00	8	7	1.51
2.80	8	1	1.56
2.60	8	5	1.57
2.40	8	10	1.57
2.20	8	11	1.50
2.00	8	11	1.43
1.80	8	6	1.42
1.60	8	1	1.42
1.40	8	5	1.48
1.20	8	9	1.53
1.00	8	7	1.50
0.80	8	4	1.47
0.60	8	11	1.47
0.40	8	18	1.48
0.20	8	18	1.52
0.00	8	18	1.61
